Scenario,Δ Unemployment (pp),Δ Wage (%),Δ Gini,Δ GDP (%),Δ Labor Share (pp),Δ Wage Inequality
Mckinsey Baseline,0.0,5.3167635890962295,0.004679025465072595,4.75847144921695,0.5990345008298092,-0.22663681756660237
Tbi Aggressive,0.0,2.4877103290390945,0.007205106506462444,2.693525579362177,-0.27758194387370594,0.17240024439931823
Anthropic Policy,0.0,-1.3820986566332571,-0.002404665892903779,-1.2894166522495198,-0.09517271143346662,0.09485148172521285
